,time,t2m,longitude,latitude,Fault_Label,Fault_Type
0,2023-01-01 00:00:00,4.7409000000000106,9,24,0,0
1,2023-01-01 01:00:00,4.6895000000000095,9,24,0,0
2,2023-01-01 02:00:00,4.711500000000001,9,24,0,0
3,2023-01-01 03:00:00,4.413819999999987,9,24,0,0
4,2023-01-01 04:00:00,3.763849999999991,9,24,0,0
5,2023-01-01 05:00:00,2.974550000000022,9,24,0,0
6,2023-01-01 06:00:00,2.3101199999999835,9,24,0,0
7,2023-01-01 07:00:00,5.00830000000002,9,24,0,0
8,2023-01-01 08:00:00,8.189700000000016,9,24,0,0
9,2023-01-01 09:00:00,12.267879999999991,9,24,0,0
10,2023-01-01 10:00:00,14.250580000000014,9,24,0,0
11,2023-01-01 11:00:00,15.826000000000022,9,24,0,0
12,2023-01-01 12:00:00,16.957060000000013,9,24,0,0
13,2023-01-01 13:00:00,17.549379999999985,9,24,0,0
14,2023-01-01 14:00:00,17.487120000000004,9,24,0,0
15,2023-01-01 15:00:00,17.487120000000004,9,24,1,4
16,2023-01-01 16:00:00,17.487120000000004,9,24,1,4
17,2023-01-01 17:00:00,17.487120000000004,9,24,1,4
18,2023-01-01 18:00:00,17.487120000000004,9,24,1,4
19,2023-01-01 19:00:00,17.487120000000004,9,24,1,4
20,2023-01-01 20:00:00,6.271599999999978,9,24,0,0
21,2023-01-01 21:00:00,6.271599999999978,9,24,1,4
22,2023-01-01 22:00:00,6.271599999999978,9,24,1,4
23,2023-01-01 23:00:00,6.271599999999978,9,24,1,4
24,2023-01-02 00:00:00,6.271599999999978,9,24,1,4
25,2023-01-02 01:00:00,6.271599999999978,9,24,1,4
26,2023-01-02 02:00:00,3.057860000000005,9,24,0,0
27,2023-01-02 03:00:00,2.8251999999999953,9,24,0,0
28,2023-01-02 04:00:00,2.5459599999999796,9,24,0,0
29,2023-01-02 05:00:00,2.207150000000013,9,24,0,0
30,2023-01-02 06:00:00,1.8860199999999736,9,24,0,0
31,2023-01-02 07:00:00,1.8860199999999736,9,24,1,4
32,2023-01-02 08:00:00,1.8860199999999736,9,24,1,4
33,2023-01-02 09:00:00,1.8860199999999736,9,24,1,4
34,2023-01-02 10:00:00,1.8860199999999736,9,24,1,4
35,2023-01-02 11:00:00,1.8860199999999736,9,24,1,4
36,2023-01-02 12:00:00,16.816100000000006,9,24,0,0
37,2023-01-02 13:00:00,17.427729999999997,9,24,0,0
38,2023-01-02 14:00:00,17.435729999999978,9,24,0,0
39,2023-01-02 15:00:00,17.435729999999978,9,24,1,4
40,2023-01-02 16:00:00,17.435729999999978,9,24,1,4
41,2023-01-02 17:00:00,17.435729999999978,9,24,1,4
42,2023-01-02 18:00:00,17.435729999999978,9,24,1,4
43,2023-01-02 19:00:00,17.435729999999978,9,24,1,4
44,2023-01-02 20:00:00,7.010499999999979,9,24,0,0
45,2023-01-02 21:00:00,6.17113999999998,9,24,0,0
46,2023-01-02 22:00:00,5.464969999999994,9,24,0,0
47,2023-01-02 23:00:00,4.8820799999999736,9,24,0,0
48,2023-01-03 00:00:00,4.361699999999985,9,24,0,0
49,2023-01-03 01:00:00,3.8519600000000196,9,24,0,0
50,2023-01-03 02:00:00,3.417629999999974,9,24,0,0
51,2023-01-03 03:00:00,3.046199999999999,9,24,0,0
52,2023-01-03 04:00:00,3.046199999999999,9,24,1,4
53,2023-01-03 05:00:00,3.046199999999999,9,24,1,4
54,2023-01-03 06:00:00,3.046199999999999,9,24,1,4
55,2023-01-03 07:00:00,3.046199999999999,9,24,1,4
56,2023-01-03 08:00:00,3.046199999999999,9,24,1,4
57,2023-01-03 09:00:00,12.585050000000024,9,24,0,0
58,2023-01-03 10:00:00,14.574099999999987,9,24,0,0
59,2023-01-03 11:00:00,16.072299999999984,9,24,0,0
60,2023-01-03 12:00:00,17.118470000000002,9,24,0,0
61,2023-01-03 13:00:00,17.672120000000007,9,24,0,0
62,2023-01-03 14:00:00,17.718700000000013,9,24,0,0
63,2023-01-03 15:00:00,17.718700000000013,9,24,1,4
64,2023-01-03 16:00:00,17.718700000000013,9,24,1,4
65,2023-01-03 17:00:00,17.718700000000013,9,24,1,4
66,2023-01-03 18:00:00,17.718700000000013,9,24,1,4
67,2023-01-03 19:00:00,17.718700000000013,9,24,1,4
68,2023-01-03 20:00:00,15.60250000000002,9,24,1,4
69,2023-01-03 21:00:00,15.60250000000002,9,24,1,4
70,2023-01-03 22:00:00,6.2298999999999864,9,24,0,0
71,2023-01-03 23:00:00,5.511660000000006,9,24,0,0
72,2023-01-04 00:00:00,4.829769999999996,9,24,0,0
73,2023-01-04 01:00:00,4.2577,9,24,0,0
74,2023-01-04 02:00:00,3.755550000000028,9,24,0,0
75,2023-01-04 03:00:00,3.3152200000000107,9,24,0,0
76,2023-01-04 04:00:00,2.932860000000005,9,24,0,0
77,2023-01-04 05:00:00,2.6158399999999915,9,24,0,0
78,2023-01-04 06:00:00,2.317319999999995,9,24,0,0
79,2023-01-04 07:00:00,5.487459999999999,9,24,0,0
80,2023-01-04 08:00:00,8.621030000000019,9,24,0,0
81,2023-01-04 09:00:00,12.707029999999975,9,24,0,0
82,2023-01-04 10:00:00,12.707029999999975,9,24,1,4
83,2023-01-04 11:00:00,12.707029999999975,9,24,1,4
84,2023-01-04 12:00:00,12.707029999999975,9,24,1,4
85,2023-01-04 13:00:00,12.707029999999975,9,24,1,4
86,2023-01-04 14:00:00,12.707029999999975,9,24,1,4
87,2023-01-04 15:00:00,16.629759999999976,9,24,0,0
88,2023-01-04 16:00:00,15.150699999999972,9,24,0,0
89,2023-01-04 17:00:00,10.214699999999993,9,24,0,0
90,2023-01-04 18:00:00,9.221679999999992,9,24,0,0
91,2023-01-04 19:00:00,9.221679999999992,9,24,1,4
92,2023-01-04 20:00:00,9.221679999999992,9,24,1,4
93,2023-01-04 21:00:00,9.221679999999992,9,24,1,4
94,2023-01-04 22:00:00,9.221679999999992,9,24,1,4
95,2023-01-04 23:00:00,9.221679999999992,9,24,1,4
96,2023-01-05 00:00:00,9.221679999999992,9,24,1,4
97,2023-01-05 01:00:00,4.125369999999975,9,24,0,0
98,2023-01-05 02:00:00,3.7374300000000176,9,24,0,0
99,2023-01-05 03:00:00,3.378600000000006,9,24,0,0
100,2023-01-05 04:00:00,3.052979999999991,9,24,0,0
101,2023-01-05 05:00:00,3.052979999999991,9,24,1,4
102,2023-01-05 06:00:00,3.052979999999991,9,24,1,4
103,2023-01-05 07:00:00,3.052979999999991,9,24,1,4
104,2023-01-05 08:00:00,3.052979999999991,9,24,1,4
105,2023-01-05 09:00:00,3.052979999999991,9,24,1,4
106,2023-01-05 10:00:00,12.189399999999978,9,24,1,4
107,2023-01-05 11:00:00,12.189399999999978,9,24,1,4
108,2023-01-05 12:00:00,12.189399999999978,9,24,1,4
109,2023-01-05 13:00:00,12.189399999999978,9,24,1,4
110,2023-01-05 14:00:00,12.189399999999978,9,24,1,4
111,2023-01-05 15:00:00,17.51245,9,24,0,0
112,2023-01-05 16:00:00,15.94983000000002,9,24,0,0
113,2023-01-05 17:00:00,10.999700000000018,9,24,0,0
114,2023-01-05 18:00:00,9.976749999999981,9,24,0,0
115,2023-01-05 19:00:00,9.167079999999999,9,24,0,0
116,2023-01-05 20:00:00,8.492129999999975,9,24,0,0
117,2023-01-05 21:00:00,7.461729999999989,9,24,0,0
118,2023-01-05 22:00:00,7.461729999999989,9,24,1,4
119,2023-01-05 23:00:00,7.461729999999989,9,24,1,4
120,2023-01-06 00:00:00,7.461729999999989,9,24,1,4
121,2023-01-06 01:00:00,7.461729999999989,9,24,1,4
122,2023-01-06 02:00:00,7.461729999999989,9,24,1,4
123,2023-01-06 03:00:00,7.461729999999989,9,24,1,4
124,2023-01-06 04:00:00,7.461729999999989,9,24,1,4
125,2023-01-06 05:00:00,7.461729999999989,9,24,1,4
126,2023-01-06 06:00:00,7.461729999999989,9,24,1,4
127,2023-01-06 07:00:00,7.461729999999989,9,24,1,4
128,2023-01-06 08:00:00,10.643950000000018,9,24,0,0
129,2023-01-06 09:00:00,14.067999999999984,9,24,0,0
130,2023-01-06 10:00:00,16.49063000000001,9,24,0,0
131,2023-01-06 11:00:00,16.49063000000001,9,24,1,4
132,2023-01-06 12:00:00,16.49063000000001,9,24,1,4
133,2023-01-06 13:00:00,16.49063000000001,9,24,1,4
134,2023-01-06 14:00:00,16.49063000000001,9,24,1,4
135,2023-01-06 15:00:00,16.49063000000001,9,24,1,4
136,2023-01-06 16:00:00,17.894380000000012,9,24,0,0
137,2023-01-06 17:00:00,13.007049999999992,9,24,0,0
138,2023-01-06 18:00:00,13.007049999999992,9,24,1,4
139,2023-01-06 19:00:00,13.007049999999992,9,24,1,4
140,2023-01-06 20:00:00,13.007049999999992,9,24,1,4
141,2023-01-06 21:00:00,13.007049999999992,9,24,1,4
142,2023-01-06 22:00:00,13.007049999999992,9,24,1,4
143,2023-01-06 23:00:00,8.07990000000001,9,24,0,0
144,2023-01-07 00:00:00,8.06274000000002,9,24,0,0
145,2023-01-07 01:00:00,8.06274000000002,9,24,1,4
146,2023-01-07 02:00:00,8.06274000000002,9,24,1,4
147,2023-01-07 03:00:00,8.06274000000002,9,24,1,4
148,2023-01-07 04:00:00,8.06274000000002,9,24,1,4
149,2023-01-07 05:00:00,8.06274000000002,9,24,1,4
150,2023-01-07 06:00:00,4.827600000000018,9,24,0,0
151,2023-01-07 07:00:00,7.731539999999995,9,24,0,0
152,2023-01-07 08:00:00,11.749149999999986,9,24,0,0
153,2023-01-07 09:00:00,14.924620000000004,9,24,0,0
154,2023-01-07 10:00:00,17.073300000000017,9,24,0,0
155,2023-01-07 11:00:00,18.588840000000005,9,24,0,0
156,2023-01-07 12:00:00,18.588840000000005,9,24,1,4
157,2023-01-07 13:00:00,18.588840000000005,9,24,1,4
158,2023-01-07 14:00:00,18.588840000000005,9,24,1,4
159,2023-01-07 15:00:00,18.588840000000005,9,24,1,4
160,2023-01-07 16:00:00,18.588840000000005,9,24,1,4
161,2023-01-07 17:00:00,18.81653,9,24,1,4
162,2023-01-07 18:00:00,18.81653,9,24,1,4
163,2023-01-07 19:00:00,18.81653,9,24,1,4
164,2023-01-07 20:00:00,18.81653,9,24,1,4
165,2023-01-07 21:00:00,7.480000000000018,9,24,0,0
166,2023-01-07 22:00:00,7.480000000000018,9,24,1,4
167,2023-01-07 23:00:00,7.480000000000018,9,24,1,4
168,2023-01-08 00:00:00,7.480000000000018,9,24,1,4
169,2023-01-08 01:00:00,7.480000000000018,9,24,1,4
170,2023-01-08 02:00:00,7.480000000000018,9,24,1,4
171,2023-01-08 03:00:00,7.480000000000018,9,24,1,4
172,2023-01-08 04:00:00,7.480000000000018,9,24,1,4
173,2023-01-08 05:00:00,7.480000000000018,9,24,1,4
174,2023-01-08 06:00:00,3.031220000000019,9,24,0,0
175,2023-01-08 07:00:00,3.031220000000019,9,24,1,4
176,2023-01-08 08:00:00,3.031220000000019,9,24,1,4
177,2023-01-08 09:00:00,3.031220000000019,9,24,1,4
178,2023-01-08 10:00:00,3.031220000000019,9,24,1,4
179,2023-01-08 11:00:00,3.031220000000019,9,24,1,4
180,2023-01-08 12:00:00,3.031220000000019,9,24,1,4
181,2023-01-08 13:00:00,3.031220000000019,9,24,1,4
182,2023-01-08 14:00:00,3.031220000000019,9,24,1,4
183,2023-01-08 15:00:00,3.031220000000019,9,24,1,4
184,2023-01-08 16:00:00,3.031220000000019,9,24,1,4
185,2023-01-08 17:00:00,9.529539999999997,9,24,0,0
186,2023-01-08 18:00:00,8.467769999999973,9,24,0,0
